company_cd,pipeline_id,project_name,field_code,service_code,manager_id,customer_id,ordering_party_id,current_stage,quoted_amount,notes
KLCUBE,2026-014,경찰청 경찰견문관리시스템 고도화 사업(STT),공공,AI서비스-IPCC,오민규,555,556,S07,,
KLCUBE,2026-016,남양주시청 시장님 신년인사에 AI수어 구축,공공,AI수어-구축형,양승구,560,561,S06,,
KLCUBE,2026-015,국민체육진흥공단 체육시설 안전 홍보 안내 AI수어 아바타 영상 제작,공공,AI수어-구축형,임철현,558,558,S01,,
KLCUBE,2026-018,남양주수어통역센터 당사 핸드사인톡톡 입정 협의,공공,AI수어-구축형,양승구,559,559,S03,,
KLCUBE,2026-001,모던텍 음성봇(SaaS) 도입 및 고객센터 운영,,AI서비스-IPCC,오민규,562,562,S03,,
KLCUBE,2026-019,법원행정처 교육자료 AI 수어영상 제작,공공,AI수어-구축형,양승구,563,563,S01,,
KLCUBE,2026-005,식품안전정보원 실시간 식품정보 수어 영상 제공 프로그램 개발 용역,공공,AI수어-구축형,임철현,564,564,S03,,
KLCUBE,2026-004,"티플리스 공공기관, 지자체 AICC. MOU",,AI서비스-IPCC,오민규,565,,S01,,
KLCUBE,2026-013,현성컨버전스 엘리베이터 비상통화장치 수어서비스,,AI수어-구축형,임철현,566,566,S01,,
KLCUBE,2026-010,KB국민은행 AI 수어 상담에 대한 챗봇 연계 구축,공공,AI수어-구축형,양승구,567,567,S03,,
KLCUBE,2026-002,(주)서원 고속도록 휴게소 배리어프리 무인발권기 도입사업,,AI수어-구축형,오민규,568,568,S01,,
KLCUBE,2026-009,120다산콜재단 AI수어 시스템 구축,,AI수어-구축형,양승구,569,569,S03,,
KLCUBE,2026-011,건양대학교 간호대학 AI 수어 시스템 구축,교육,AI수어-구축형,양승구,570,570,S03,,
KLCUBE,2026-007,국립국어원 2026년 한국수어-한국어 사전 자료 집필,공공,AI수어-구축형,임철현,571,571,S08,,
KLCUBE,2026-008,2025년 테스트베드 서울 실증 지원사업(서울의료원),의료,AI수어-구축형,임철현,572,574,S08,,
KLCUBE,2026-003,에니텍시스 무인민원발급기 수어 서비스 제안,,AI수어-구축형,오민규,575,575,S01,,
KLCUBE,2026-006,한국승강기안전공단 승강기 비상상황시 시청각장애인 안내시스템,공공,AI수어-구축형,임철현,576,576,S01,70000000,
KLCUBE,2026-012,MG새마을금고 디지털창구 고도화,,AI수어-구축형,양승구,577,578,S07,,
KLCUBE,2026-022,박람회 행사에 따른 AI 수어 시스템 구축,공공,AI수어-구축형,양승구,585,585,S02,39000000,
KLCUBE,2026-023,LS 증건 홈페이지 개편에 따른 AI수어 추가 제안,공공,AI수어-구축형,양승구,587,588,S03,,
KLCUBE,2026-021,AICC 시스템 구축,제조,AI서비스-IPCC,양승구,582,582,S01,,
KLCUBE,2026-020,배리어프리 키오스크 AI수어아바타 도입,,AI수어-구축형,임철현,583,583,S02,43000000,
KLCUBE,2026-024,카카오뱅크  AI수어상담 3D 아바타 및 영상제작,공공,AI수어-구축형,양승구,589,589,S08,,
KLCUBE,2026-025,KTX 열차내 수어안내 시스템 구축,,AI수어-구축형,양승구,591,591,S03,,
KLCUBE,2026-026,2026년 한국어-한국수어 병렬 말뭉치 구축,공공,AI수어-구축형,임철현,592,592,S03,,
KLCUBE,2025-001,KB국민은행 SynK 활용 AICC 통합관리포탈 구축,,,함영민,567,593,S02,2637000,"* 앞단에서 영업 중인 디씨온 이재문 이사(KB출신으로 인프라 유지보수 업체) 케이엘큐브 명함 발행 요청
* 계약라인업 : KB국민은행 < SK쉴더스 < 케이엘큐브"
KLCUBE,2025-002,한국도로교통공단 STT API 개발,,,함영민,594,595,S05,,"* 6월초 계약, 12월 종료 혹은 1월 종료(변동 가능성 있음)"
